baseline_id,empresa,produto,url_inicial,url_final,urls_visitadas_qtd,urls_visitadas_lista,pdfs_lista,status,observacoes
1,SAS,SAS Fraud Management,https://www.sas.com/en_us/software/fraud-management.html,,0,,,"PENDENTE","Aguardando navegação Fase 1"
2,SAS,Fraud/Financial Crimes,https://www.sas.com/pt_br/industry/banking/solution/fraud-financial-crimes-compliance.html,,0,,,"PENDENTE","Aguardando navegação Fase 1"
3,SAS,Anti-Money Laundering,https://www.sas.com/en_us/software/anti-money-laundering.html,,0,,,"PENDENTE","Aguardando navegação Fase 1"
4,FICO,Falcon Fraud Manager,https://www.fico.com/en/products/fico-falcon-fraud-manager,,0,,,"PENDENTE","Aguardando navegação Fase 1"
5,FICO,Falcon Fraud Manager (listing),https://financialit.net/products/banking/falcon-fraud-manager,,0,,,"PENDENTE","Aguardando navegação Fase 1"
6,IBM,IBM Safer Payments,https://www.ibm.com/products/safer-payments,,0,,,"PENDENTE","Aguardando navegação Fase 1"
7,IBM,Fraud Prevention,https://www.ibm.com/solutions/fraud-prevention,,0,,,"PENDENTE","Aguardando navegação Fase 1"
8,NICE Actimize,Digital Banking Fraud,https://www.niceactimize.com/fraud-management/digital-banking,,0,,,"PENDENTE","Aguardando navegação Fase 1"
9,NICE Actimize,Fraud Management,https://www.niceactimize.com/fraud-management,,0,,,"PENDENTE","Aguardando navegação Fase 1"
10,ACI Worldwide,ACI Fraud Management Banking,https://www.aciworldwide.com/solutions/aci-fraud-management-banking,,0,,,"PENDENTE","Aguardando navegação Fase 1"
